experiment_name,feature_extraction,classifier,augmentation,metric,average,std_dev,min,max,count
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,accuracy_score,0.5251214895671551,0.06901493854291801,0.3361581920903955,0.6599897277863379,1600
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,f1_macro,0.45373274775092814,0.11231661089695176,0.25,0.5807973415322634,1600
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,load_data_time,19.343823182686222,7.338797448672728,10.507096689,33.933381933,1600
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,prediction_time,0.4461400487899999,0.17050366008977216,0.161955238,0.697693413,1600
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,training_time,24.52539256783382,9.040271685485095,13.509549168,38.708961761,1600
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,accuracy_score,0.5875139266184309,0.06699626889526891,0.3361581920903955,0.6808149405772496,1600
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,f1_macro,0.5191934596775478,0.12595380631391903,0.25,0.6406883067723523,1600
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,load_data_time,0.06838432214187498,0.009564248563193932,0.053270202,0.08593646,1600
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,prediction_time,0.44703886117374997,0.17078312784105826,0.16290733,0.696826723,1600
rauber_de_fe_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,training_time,2.6826240054543775,0.37000672276922614,2.180729959,3.313573929,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,accuracy_score,0.5125798222221959,0.13824452676333965,0.20203735144312393,0.6796047988708539,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,f1_macro,0.48131858256992877,0.1585419928661285,0.25,0.6704324615592997,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,load_data_time,5.852027734778122,2.1548975327692723,3.615249988,9.385640012,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,prediction_time,0.2504509243993747,0.07459985251068021,0.136635572,0.344644929,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,training_time,6.582571401430622,2.1416051479133174,4.302065033,9.545664063,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,accuracy_score,0.5392368307197966,0.16729995573745995,0.20203735144312393,0.7741707833450953,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,f1_macro,0.5222117317149502,0.20599349716709073,0.25,0.8171636052611325,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,load_data_time,0.037769345066250015,0.004647113921430332,0.03097131,0.048804985,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,prediction_time,0.2509364625956251,0.07488481198699105,0.136542292,0.354891937,1600
rauber_loca_et_al_setup,WaveletFeatures,RandomForestClassifier,without_augmentation,training_time,1.3123214860356276,0.14734099868491463,1.107586742,1.546928937,1600
sehri_et_al_inspired_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,accuracy_score,0.3769124173056838,0.10180056009886446,0.23952695931048307,0.5174,150
sehri_et_al_inspired_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,f1_macro,0.2856604517657562,0.14864081269988005,0.13823801203903294,0.5002332174172518,150
sehri_et_al_inspired_setup,WaveletFeatures,RandomForestClassifier,with_augmentation,load_data_time,4.355698414819998,0.20560928217837557,4.00645342,4.519159959,150
