experiment,round,accuracy,f1_macro
No augmentation,1,0.5975262299020049,0.5189384499184044
No augmentation,2,0.5921941165388859,0.5192245372271697
No augmentation,3,0.5965177506296202,0.5213288489388277
No augmentation,4,0.5663993131004021,0.5184728943993889
No augmentation,5,0.5916674092233974,0.5219466734627396
No augmentation,6,0.5956966272250123,0.5182323248863007
No augmentation,7,0.5945744055154665,0.5181958806160041
No augmentation,8,0.5654542300590041,0.5184293091997386
No augmentation,Mean,0.5875037602742242,0.5193461148310717
With augmentation,1,0.5356540755539855,0.4558794424874044
With augmentation,2,0.5309857567063483,0.45420349883675115
With augmentation,3,0.5339882336198383,0.45785703863343225
With augmentation,4,0.505383498427149,0.45595670842294517
With augmentation,5,0.5291204393629161,0.45057120147277896
With augmentation,6,0.5320131877442122,0.45014432403200927
With augmentation,7,0.5335109729686193,0.45621590978959525
With augmentation,8,0.5071671284395609,0.45669283253444415
With augmentation,Mean,0.5259779116028287,0.45469011952617006
